Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,326.85,1.000000002112341,0.0076308772549121,0.5600915089401346,0.01081505049275929,0.3739248209554316,6.416328980308252e-07,0.009222322240937674,0.038314778482926734,0.6389797249017914,0.0036019308592854316,0.0014835527604693166,0.13157488130255926,0.15664406586072255,1.411927927753929e-05,0.06068574892254661,1.2972076356342942e-06,2.13770641437853e-11,0.005996364330410031,0.0010183145539255
1.5,326.85,1.0000000000315334,0.013219003633044403,0.5447125772556421,0.02178800755449595,0.3645695958215184,8.690074548272969e-07,0.01750263658631536,0.03820731014152886,0.6303512546649933,0.005674396807166893,0.002274014841145476,0.13878081415350887,0.1444097580244348,1.2817933073916735e-05,0.069058118873076,1.2051570751951851e-06,1.922081498326058e-11,0.008811770547224403,0.0006258489790822806
3.0,326.85,1.0000000002656668,0.017346555840125483,0.5303491471173439,0.03289703248346662,0.3561575372555348,9.20789754013797e-07,0.025120873372042045,0.038127933141733086,0.626010317105774,0.0070865333863293495,0.0030657370716187095,0.1446794696281879,0.1352159632175491,1.190051795932922e-05,0.0730442318874999,1.1307322562209282e-06,1.7695258560299412e-11,0.010394788332201702,0.0004899281029310953
4.500000000000001,326.85,1.0000000009325072,0.02039091204272564,0.5167517020484103,0.044094115797574024,0.3484513679992046,9.019766307746013e-07,0.032241611943519065,0.03806938819193545,0.6238271486271343,0.008135587759242509,0.0038594410121029488,0.14934326786315524,0.1280927635967979,1.1209338972838973e-05,0.07492051977956143,1.0698217068167126e-06,1.6537961423712103e-11,0.011390169812515194,0.00041882237227595573
6.0,326.85,0.999999998699106,0.02261656789960235,0.5037592087864796,0.05533175586371169,0.3412917176185305,8.586994227823906e-07,0.03897330318223424,0.038026587950018745,0.6229202800012782,0.00894533547550564,0.004654714641362062,0.15296247664003335,0.12245347967348189,1.0668611198665393e-05,0.07562093689509834,1.0192695744897541e-06,1.562415657991165e-11,0.012056628021631849,0.00037446075521373434
7.5,326.85,1.000000000270157,0.024216412252669437,0.4912609677861028,0.06656857094758487,0.3345657347759117,8.105919284208911e-07,0.04539168100819873,0.037995822637603885,0.6228397279360347,0.009583158925787453,0.005450701468764194,0.1557231058743249,0.1179104367472012,1.0234193786786362e-05,0.07561530665117838,9.767152428320057e-07,1.488173338899809e-11,0.01252248502712386,0.0003438664456756825
9.000000000000002,326.85,0.9999999999996312,0.025334494410039026,0.4791779378844541,0.07777002650456333,0.32819095881628385,7.653673190440655e-07,0.05155149508998213,0.0379743219273585,0.6233261966181352,0.01009160968200686,0.006246419965650564,0.15778481084116708,0.11419390172788565,9.877607638097613e-06,0.07516593575160797,9.403759681834952e-07,1.4264451439677117e-11,0.012858985232204257,0.00032132218347424727
10.5,326.85,0.9999999999636401,0.026080070661300126,0.46745224256261864,0.0889078551915147,0.32210588396865303,7.254843859348488e-07,0.05749323744202148,0.03795998468950604,0.6242179999836358,0.010500106067394679,0.007040904094521281,0.1592792841055786,0.11110963488224423,9.579317352536525e-06,0.07442905713123169,9.088926223687332e-07,1.3740748754564197e-11,0.0131086376107575,0.00030388790092357134
12.0,326.85,0.9999999998102382,0.02653689358077545,0.45604073298541664,0.09995917021378313,0.316263971030016,6.911972894739143e-07,0.0632473406999898,0.03795120029272952,0.6254085367326928,0.010830171724108136,0.00783326276675104,0.1603134575544608,0.10851429751653444,9.325382229104155e-06,0.0735020414153014,8.812211282316329e-07,1.3288193079655088e-11,0.013298139520252971,0.0002898861532559389
13.5,326.85,1.000000000347891,0.026769648906664726,0.4449107961129377,0.11090558227315248,0.3106296323257688,6.619318133309939e-07,0.06883695365809525,0.03794672479156772,0.6268245558372909,0.011098124373197595,0.008622700839618658,0.16097354043682424,0.10630018892448359,9.10558347224366e-06,0.07244771221216008,8.565545899410722e-07,1.289039551286467e-11,0.013444929098129449,0.00027828612734629755
15.0,326.85,1.0000000000355849,0.026828565642626694,0.4340375059475478,0.1217324135601972,0.30517543298915906,6.368864042533634e-07,0.0742798527150077,0.037945592259057075,0.6284140978137199,0.011316614425369534,0.009408522529773948,0.1613287871380036,0.10438528488040252,8.912288398344752e-06,0.07130776520584226,8.342665054630571e-07,1.2535148149192029e-11,0.013560762907716663,0.00026841853173510455
16.5,326.85,1.0000000006090646,0.0267527984085289,0.42340162587507424,0.1324280286115222,0.29988008385804227,6.152775186535602e-07,0.07958979823250689,0.03794704973680675,0.6301393780790054,0.011495587657365018,0.010190126573510297,0.16143472231173053,0.10270647336848442,8.739718643952268e-06,0.07011054853084779,8.138687023493877e-07,1.221322987568658e-11,0.013653779605717896,0.00025983027378171107
18.000000000000004,326.85,1.000000000690609,0.026572954008503933,0.41298817460358567,0.14298327628740962,0.29472697130704395,5.964254927490175e-07,0.08477751872246403,0.03795050864550004,0.6319723719150809,0.011642932474605613,0.010966998129111545,0.16133580824541013,0.10121481557067326,8.583456792106038e-06,0.06887574840376375,7.949797932073768e-07,1.1917604716683123e-11,0.013729742206222804,0.00025220460663222033
19.5,326.85,0.9999999999271906,0.026313004471719244,0.40278537813531473,0.15339102944453822,0.28970306299498727,5.797720774870664e-07,0.08985143718605125,0.03795550799531157,0.6338919663280792,0.011764939878685488,0.011738699250184663,0.16106761770772332,0.09987213796544128,8.440101595902109e-06,0.06761729477908077,7.773012414492421e-07,1.1642863871964264e-11,0.013792812171185177,0.0002453145051435534
21.0,326.85,1.0000000002490035,0.02599175051223837,0.39278389337263636,0.16364580744624893,0.2847980834470074,5.648712561212678e-07,0.09481821410798755,0.037961686242625074,0.6358820570996159,0.011866643949507028,0.012504859337103331,0.1606585904901592,0.09864853116677383,8.307020494301154e-06,0.06634521026155553,7.605990521688411e-07,1.1384826610903374e-11,0.013846046011673949,0.0002389940526836305
22.5,326.85,0.9999999999813131,0.025623949851838513,0.382976226977637,0.17374346766012752,0.28000388716255953,5.51371740280794e-07,0.09968315738424274,0.03796875959185423,0.6379302313315486,0.011952081303247286,0.013265167073539953,0.16013144726127898,0.09752048648028466,8.182168581055964e-06,0.06506681746410499,7.446897032491891e-07,1.114024910236892e-11,0.013891722072478135,0.0002331201440977532
24.0,326.85,1.0000000014727777,0.025221192313510037,0.3733562968374185,0.18368095401128937,0.2753139785083112,5.389987934403976e-07,0.10445053416360629,0.03797650516707106,0.6400268504067039,0.012024492564142923,0.0140193615674156,0.15950432791057997,0.0964694799608914,8.063952923856437e-06,0.06378753343136541,7.294291763358338e-07,1.0906606970527087e-11,0.013931560425873154,0.00022760034002555584
25.500000000000004,326.85,1.0000000001618699,0.024792581581424555,0.36391909923656285,0.1934560922650057,0.2707231420922454,5.275381805320578e-07,0.10912380938503466,0.03798474790154603,0.6421643767344696,0.012086481067580743,0.01476722583104322,0.15879170451432692,0.09548089410293066,7.951130728050654e-06,0.06251141331221373,7.147044744856608e-07,1.0681932290705286e-11,0.013966874002258713,0.00022236458929545498
27.0,326.85,0.9999999998269214,0.024345268095149735,0.35466045497435966,0.20306742374008727,0.26622715698274824,5.168229436977404e-07,0.11370582909467489,0.03799335029003666,0.6443368842084006,0.012140138824751859,0.015508580349791792,0.15800511512566348,0.09454318275822947,7.842731326848413e-06,0.061241521733919155,7.004269654376523e-07,1.046468906031963e-11,0.013998674406370122,0.0002173594241213872
28.5,326.85,0.9999999992743395,0.02388486664089418,0.3455768151955479,0.21251407022127786,0.26182257515280477,5.067228736826084e-07,0.11819896170821245,0.03800220435838906,0.6465396930271882,0.01218714708825382,0.016243277341589302,0.15715375287371447,0.09364722148639124,7.737996161655976e-06,0.05998019251260499,6.865271632833225e-07,1.0253677569772619e-11,0.014027747329856535,0.00021254380682841266
30.0,326.85,1.0000000001635971,0.023415784150577813,0.3366651124401749,0.22179562445069584,0.25750654929804623,4.971362705177544e-07,0.1226052071643664,0.038011225359868284,0.6487690896385824,0.01222885696342652,0.01697119622827391,0.15624493847385518,0.09278580092579271,7.636332525402168e-06,0.05872921517538491,6.729506468857036e-07,1.0047960760741791e-11,0.014054707191539246,0.00020788610992986947
31.5,326.85,1.000000000037209,0.02294147734958408,0.32792264627083195,0.2309120613539006,0.2532766988534242,4.879835499365893e-07,0.1269262813681925,0.03802034682051663,0.6510221147111737,0.01226635411195869,0.01769223934900141,0.15528449975442257,0.09195322765578531,7.537277471173558e-06,0.05748996830132799,6.5965483839664e-07,9.846806888960863e-12,0.014080037293253921,0.00020336188092359584
33.0,326.85,0.9999999999857141,0.02246465541680027,0.3193469952971813,0.2398636662246737,0.24913100559866724,4.792022980331264e-07,0.13116368161843905,0.038029516641940396,0.6532963986333261,0.012300510778269063,0.01840632830795536,0.154277076200588,0.0911450097283432,7.4404696863312895e-06,0.05626351735914894,6.466064700216528e-07,9.64964489091934e-12,0.014104119735683335,0.0001989521708823627
34.5,326.85,0.9999999999999796,0.021987439481019087,0.3109359495328741,0.2486509766105133,0.2450677322956823,4.707434486699205e-07,0.1353187373023176,0.03803869403414483,0.6555900320323859,0.012332027654686353,0.019113401038168033,0.15322636319948466,0.09035760861659681,7.345627561885674e-06,0.055050687796377125,6.337795943740269e-07,9.456029598764848e-12,0.01412725797240129,0.00019464227329042767
36.00000000000001,326.85,0.9999999997778313,0.02151148816993174,0.30268745836813254,0.2572747353488745,0.2410853592524704,4.6256832573708135e-07,0.13939264919107752,0.03804784710118733,0.6579014654069208,0.012361467560259902,0.019813409074810735,0.1521353081657417,0.08958824218610828,7.252531945111099e-06,0.05385211916898902,6.211540115687273e-07,9.265614434237455e-12,0.01414969397991974,0.00019042076203018815
37.5,326.85,0.9999999999908541,0.021038096438194945,0.29459959056927787,0.265735852645027,0.2371825348652071,4.5464635086339504e-07,0.14338651989526022,0.03805695094068178,0.6602294302929004,0.012389282537593325,0.020506315143470583,0.15100626792580601,0.08883472824194528,7.161012592216245e-06,0.05266830592354497,6.087140288572142e-07,9.078129989743493e-12,0.01417162144530985,0.00018627875373316736
39.0,326.85,1.000000000000006,0.0205682733540009,0.2866705035700835,0.27403537544860607,0.23335803707806876,4.4695326369949775e-07,0.1473013774480399,0.03806598614793721,0.6625728741873776,0.012415835677027814,0.021192091582775463,0.14984113473468563,0.08809536138972322,7.07093766452673e-06,0.051499629706445935,5.964474945822321e-07,8.893367387243227e-12,0.014193195985193979,0.00018220934272035293
40.5,326.85,0.9999999999996116,0.020102803303851276,0.2788984199088434,0.2821744627586413,0.2296107433584482,4.394697375250035e-07,0.15113819356150887,0.03807493763896943,0.6649309124816382,0.012441418632732673,0.021870718307747797,0.14864143774829428,0.08736881358290641,6.982205289854115e-06,0.050346382444947754,5.843450221728636e-07,8.711164992393823e-12,0.014214543083042267,0.00017820715966990078
42.0,326.85,1.000000000002909,0.01964229413568373,0.2712816091933808,0.29015436569931674,0.22593960732942586,4.321803007648511e-07,0.1548978977371996,0.0380837937246926,0.6673027872362708,0.01246626572960362,0.022542181616199485,0.1474084241645525,0.08665405626231586,6.8947370779803245e-06,0.04920878549991956,5.723993914114261e-07,8.531398161186627e-12,0.01423576431340321,0.0001742680327377149
